film_code,cinema_code,total_sales,tickets_sold,tickets_out,show_time,occu_perc,ticket_price,ticket_use,capacity,date,month,quarter,day,year
1483,51,50000000,508,0,4,21.86,98425.1968503937,508,2323.8792314730103,2018-01-04,4,2,1,2018
1483,344,188100000,1256,0,7,68.11,149761.1464968153,1256,1844.075759800323,2018-01-04,4,2,1,2018
1483,452,144750000,965,0,6,82.48,150000.0,965,1169.980601357905,2018-01-04,4,2,1,2018
1483,450,134850000,916,0,6,76.97,147216.15720524016,916,1190.0740548265558,2018-01-04,4,2,1,2018
1483,183,131840000,1648,0,7,50.09,80000.0,1648,3290.0778598522656,2018-01-04,4,2,1,2018
1483,513,126750000,1273,0,9,61.11,99567.94972505892,1273,2083.1287841597123,2018-01-04,4,2,1,2018
1483,163,124830000,940,0,6,58.02,132797.87234042553,940,1620.1309893140294,2018-01-04,4,2,1,2018
1483,71,124800000,841,1,3,99.76,148394.7681331748,840,843.0232558139535,2018-01-04,4,2,1,2018
1483,141,155400000,1044,0,5,77.62,148850.5747126437,1044,1345.0141716052565,2018-01-04,4,2,1,2018
1485,277,19600000,245,0,3,30.25,80000.0,245,809.9173553719008,2018-01-04,4,2,1,2018
1485,35,38700000,387,0,3,77.25,100000.0,387,500.9708737864078,2018-01-04,4,2,1,2018
1485,396,35400000,354,0,4,60.2,100000.0,354,588.0398671096345,2018-01-04,4,2,1,2018
1485,71,136800000,920,2,4,85.03,148695.65217391303,918,1081.9710690344584,2018-01-04,4,2,1,2018
1485,344,128550000,870,0,6,55.03,147758.62068965516,870,1580.9558422678538,2018-01-04,4,2,1,2018
1485,452,123600000,824,0,6,70.43,150000.0,824,1169.9559846656252,2018-01-04,4,2,1,2018
1485,417,47665000,486,0,5,27.77,98076.1316872428,486,1750.0900252070578,2018-01-04,4,2,1,2018
1485,210,121200000,1515,0,7,58.65,80000.0,1515,2583.1202046035805,2018-01-04,4,2,1,2018
1485,141,81900000,548,0,7,70.53,149452.55474452555,548,776.9743371614916,2018-01-04,4,2,1,2018
1485,352,137100000,924,5,9,44.36,148376.62337662338,919,2082.957619477006,2018-01-04,4,2,1,2018
1485,513,64000000,646,0,5,52.14,99071.20743034055,646,1238.9719984656697,2018-01-04,4,2,1,2018
1485,445,51240000,427,0,10,44.99,120000.0,427,949.0997999555456,2018-01-04,4,2,1,2018
1485,266,49200000,328,0,4,49.7,150000.0,328,659.9597585513078,2018-01-04,4,2,1,2018
