film_code,cinema_code,total_sales,tickets_sold,tickets_out,show_time,occu_perc,ticket_price,ticket_use,capacity,month,quarter,day,year
1482,480,9360000,159,1,2,72.27,58867.92452830189,158,220.00830220008305,4,2,1,2018
1482,505,6450000,129,0,2,33.25,50000.0,129,387.96992481203006,4,2,1,2018
1482,484,6250000,125,0,2,41.67,50000.0,125,299.9760019198464,4,2,1,2018
1482,292,5820000,97,0,4,13.32,60000.0,97,728.2282282282282,4,2,1,2018
1482,456,5340000,91,0,2,43.59,58681.31868131869,91,208.76347786189493,4,2,1,2018
1482,427,5160000,48,0,1,48.98,107500.0,48,97.99918334013884,4,2,1,2018
1482,162,4320000,72,0,1,62.61,60000.0,72,114.99760421657884,4,2,1,2018
1482,486,4100000,100,0,3,11.9,41000.0,100,840.3361344537816,4,2,1,2018
1482,324,6440000,92,0,3,14.89,70000.0,92,617.8643384822028,4,2,1,2018
1482,164,16800000,240,0,2,61.07,70000.0,240,392.9916489274603,4,2,1,2018
1482,453,9750000,173,0,4,20.16,56358.38150289017,173,858.1349206349206,4,2,1,2018
1482,474,10240000,128,0,3,46.72,80000.0,128,273.972602739726,4,2,1,2018
1482,314,15400000,220,0,4,22.77,70000.0,220,966.1835748792272,4,2,1,2018
1482,499,14800000,148,0,2,37.37,100000.0,148,396.0396039603961,4,2,1,2018
1482,464,14640000,183,0,2,25.77,80000.0,183,710.128055878929,4,2,1,2018
1482,430,14300000,144,0,2,86.75,99305.55555555556,144,165.9942363112392,4,2,1,2018
1482,160,14080000,176,0,6,7.93,80000.0,176,2219.419924337957,4,2,1,2018
1482,254,12950000,185,0,12,6.24,70000.0,185,2964.74358974359,4,2,1,2018
1482,313,10160000,133,0,2,21.88,76390.97744360902,133,607.8610603290676,4,2,1,2018
1482,253,12180000,174,0,4,13.59,70000.0,174,1280.3532008830025,4,2,1,2018
1482,50,11640000,97,0,3,18.16,120000.0,97,534.1409691629956,4,2,1,2018
1482,338,11520000,144,0,2,33.8,80000.0,144,426.0355029585799,4,2,1,2018
1482,245,11220000,187,0,3,19.48,60000.0,187,959.958932238193,4,2,1,2018
1482,432,10800000,230,0,4,18.85,46956.52173913043,230,1220.159151193634,4,2,1,2018
1482,479,10480000,131,0,4,19.38,80000.0,131,675.9545923632611,4,2,1,2018
1482,467,10400000,208,0,3,17.33,50000.0,208,1200.2308136180036,4,2,1,2018
1482,454,12000000,240,0,4,20.0,50000.0,240,1200.0,4,2,1,2018
1482,172,46200000,462,0,3,70.0,100000.0,462,660.0,4,2,1,2018
1481,162,9840000,164,0,3,13.67,60000.0,164,1199.7073884418437,4,2,1,2018
1481,380,9520000,97,0,3,31.29,98144.32989690722,97,310.0031959092362,4,2,1,2018
1484,144,35360000,442,0,10,86.67,80000.0,442,509.9803853697934,4,2,1,2018
1484,312,34560000,432,0,7,66.56,80000.0,432,649.0384615384615,4,2,1,2018
1484,39,34350000,364,0,3,70.54,94368.13186813188,364,516.0192798412248,4,2,1,2018
1484,166,33240000,585,0,4,61.58,56820.51282051282,585,949.9837609613512,4,2,1,2018
1484,266,33000000,220,0,3,46.51,150000.0,220,473.01655557944525,4,2,1,2018
1484,238,33000000,550,0,6,44.5,60000.0,550,1235.9550561797753,4,2,1,2018
1484,247,30240000,542,0,3,74.45,55793.35793357933,542,728.0053727333781,4,2,1,2018
1484,313,30160000,395,0,6,21.66,76354.43037974683,395,1823.638042474608,4,2,1,2018
1484,431,30120000,251,0,8,36.38,120000.0,251,689.9395272127542,4,2,1,2018
1484,181,30050000,302,0,4,34.16,99503.31125827816,302,884.0749414519908,4,2,1,2018
1484,350,29800000,298,0,3,44.74,100000.0,298,666.0706303084487,4,2,1,2018
1484,210,28800000,360,0,6,86.96,80000.0,360,413.9834406623736,4,2,1,2018
1484,487,28500000,297,0,6,20.2,95959.59595959596,297,1470.2970297029703,4,2,1,2018
1484,291,27690000,490,0,6,48.04,56510.204081632655,490,1019.9833472106578,4,2,1,2018
1484,167,27580000,394,0,12,8.76,70000.0,394,4497.7168949771685,4,2,1,2018
1484,380,27400000,315,0,4,41.18,86984.12698412698,315,764.934434191355,4,2,1,2018
1484,162,26880000,448,0,6,7.7,60000.0,448,5818.181818181818,4,2,1,2018
1484,499,15800000,158,0,2,34.8,100000.0,158,454.0229885057472,4,2,1,2018
1484,225,16380000,234,0,10,10.31,70000.0,234,2269.641125121241,4,2,1,2018
1484,222,16400000,205,0,4,15.89,80000.0,205,1290.119572057898,4,2,1,2018
1484,201,17920000,256,0,3,26.92,70000.0,256,950.965824665676,4,2,1,2018
1484,142,18800000,188,0,7,67.87,100000.0,188,277.0001473405039,4,2,1,2018
1484,529,19800000,165,0,2,42.97,120000.0,165,383.9888294158715,4,2,1,2018
1484,474,36320000,416,0,3,90.04,87307.69230769231,416,462.01688138605056,4,2,1,2018
1484,165,21920000,274,0,3,22.68,80000.0,274,1208.1128747795417,4,2,1,2018
1484,442,23040000,295,0,2,66.74,78101.69491525424,295,442.0137848366797,4,2,1,2018
1484,390,24960000,315,0,10,88.89,79238.09523809524,315,354.3705703678704,4,2,1,2018
1484,277,25920000,324,0,5,33.4,80000.0,324,970.0598802395208,4,2,1,2018
1484,160,26400000,330,0,8,11.15,80000.0,330,2959.641255605381,4,2,1,2018
1484,196,26800000,339,0,4,28.25,79056.04719764012,339,1200.0,4,2,1,2018
1484,72,26880000,226,0,1,66.67,118938.05309734514,226,338.9830508474576,4,2,1,2018
1484,456,22880000,309,0,4,72.56,74045.3074433657,309,425.8544652701213,4,2,1,2018
1484,159,38010000,543,0,12,14.46,70000.0,543,3755.186721991701,4,2,1,2018
1484,429,38200000,382,0,3,62.11,100000.0,382,615.0378360972468,4,2,1,2018
1484,445,39600000,330,0,4,77.1,120000.0,330,428.0155642023346,4,2,1,2018
1484,71,76350000,518,0,3,47.31,147393.8223938224,518,1094.9059395476645,4,2,1,2018
