date,daily_sales,daily_tickets,daily_used_tickets,avg_occupancy,unique_films,unique_cinemas,day,month,quarter,year
2018-07-10,10786194995,192812,192637,34.34216735253772,20,206,10,7,3,2018
2018-07-11,6959104995,66224,66135,11.863020030816642,20,202,11,7,3,2018
2018-07-12,12008334977,107183,107074,17.926618497109825,20,209,12,7,3,2018
2018-07-13,15812514981,142586,142409,22.36072857142857,20,208,13,7,3,2018
2018-07-14,6480759976,67503,67409,12.403966049382715,20,205,14,7,3,2018
2018-07-15,5510644991,54132,54054,11.059306451612905,20,200,15,7,3,2018
2018-07-16,6653094991,62433,62357,11.37960876369327,19,205,16,7,3,2018
2018-07-17,13076185989,237871,237448,40.41404255319149,19,211,17,7,3,2018
2018-07-18,8999259980,87295,87173,14.51271472392638,19,207,18,7,3,2018
2018-07-19,13190757991,119164,118965,19.31293768545994,21,211,19,7,3,2018
2018-07-20,16851959987,152974,152765,23.628783382789315,20,215,20,7,3,2018
2018-07-21,7159569982,76194,76087,14.318869426751592,18,208,21,7,3,2018
2018-07-22,6549649998,63337,63269,12.24374203821656,19,210,22,7,3,2018
2018-07-23,6172484993,58526,58421,11.615637254901962,19,211,23,7,3,2018
2018-07-24,13319830996,241204,240989,41.65834074074074,20,217,24,7,3,2018
2018-07-25,8000094991,77161,77006,14.412126623376624,21,211,25,7,3,2018
2018-07-26,12027644995,107303,107109,19.329319620253163,20,210,26,7,3,2018
2018-07-27,14885269983,134072,133884,24.169126984126983,20,208,27,7,3,2018
2018-07-28,6264484991,66451,66291,13.87838550247117,21,207,28,7,3,2018
2018-07-29,5555974987,52871,52755,11.648795986622073,21,207,29,7,3,2018
2018-07-30,5918124988,55868,55742,11.593105802047782,20,206,30,7,3,2018
2018-07-31,13719579997,245972,245099,43.78633333333333,21,211,31,7,3,2018
2018-08-01,8289149995,79706,79574,14.86516393442623,22,211,1,8,3,2018
2018-08-02,11822730988,105001,104786,19.595302325581397,22,212,2,8,3,2018
2018-08-03,15215489991,136647,136201,24.212302936630604,22,209,3,8,3,2018
2018-08-04,6382794992,68980,68746,14.710589198036006,21,202,4,8,3,2018
2018-08-05,5724189989,55486,55382,12.152541254125412,21,205,5,8,3,2018
2018-08-06,5464959990,52949,52842,11.907803660565724,21,202,6,8,3,2018
2018-08-07,13684424998,246260,246044,45.20453149001536,21,210,7,8,3,2018
2018-08-08,7918147990,78209,78066,15.924506369426751,17,208,8,8,3,2018
2018-08-09,11818904985,106050,105854,20.634673046251997,18,210,9,8,3,2018
2018-08-10,14990894987,136444,136245,23.80243902439024,20,214,10,8,3,2018
2018-08-11,5547329992,60613,60454,14.39493006993007,16,196,11,8,3,2018
2018-08-12,5057709998,49482,49333,14.02945299145299,16,202,12,8,3,2018
2018-08-13,5179299994,51325,51205,12.074453507340946,16,210,13,8,3,2018
2018-08-14,13195990000,237251,236975,43.25177469135803,16,216,14,8,3,2018
2018-08-15,7010064996,70360,70250,15.26151515151515,21,213,15,8,3,2018
2018-08-16,10157724991,91990,91791,19.26169278996865,20,214,16,8,3,2018
2018-08-17,13006859983,118680,118455,23.768678955453147,20,214,17,8,3,2018
2018-08-18,4947809996,54845,54747,13.837628524046435,19,204,18,8,3,2018
2018-08-19,4381749995,43027,42975,13.876013628620102,17,205,19,8,3,2018
2018-08-20,4492764993,45664,45544,11.164484375,21,210,20,8,3,2018
2018-08-21,10896969987,194225,194002,37.23585227272727,20,215,21,8,3,2018
2018-08-22,10470650988,97523,97338,19.29068493150685,18,209,22,8,3,2018
2018-08-23,8538013991,75412,75276,16.177798165137617,17,212,23,8,3,2018
