date,total_sales,tickets_sold,tickets_out,show_time,occu_perc,ticket_price,ticket_use,capacity,film_code,cinema_code,month,quarter,day,year
2018-05-10,11283699990,96911,118,2629,20.68203363914373,94965.919209946,96793,863.2355938593564,1556,211,10,4,5,2018
2018-06-04,18006897466,175328,326,2621,35.759211409395974,89345.07202678277,175002,969.6316959841245,1482,202,4,2,6,2018
2018-06-05,4885784998,56343,122,2602,13.635260989010987,85477.15657463083,56221,790.9979327334846,1483,206,5,2,6,2018
2018-06-07,11396164998,100201,129,2688,18.19208275862069,90930.28202440336,100072,791.9835284741137,1499,208,7,3,6,2018
2018-06-08,5464959990,52949,107,2487,11.907803660565724,91421.88936867936,52842,878.7976571250174,1554,202,8,3,6,2018
2018-06-09,6447314996,57469,154,2557,13.789970930232558,94229.61136624917,57315,791.5121461033573,1556,210,9,3,6,2018
2018-06-10,6588964978,89459,118,2562,18.630933977455715,73355.37163695498,89341,891.1746463004957,1556,202,10,4,6,2018
2018-07-04,6549739494,72765,60,2490,16.869375,84210.38705300624,72705,964.5626940092976,1485,200,4,2,7,2018
2018-07-05,4945088994,56894,318,2585,13.879240331491712,85296.31183412655,56576,789.7217939494592,1481,206,5,2,7,2018
2018-07-06,3475384992,40906,45,1957,14.475494296577946,68812.40440586153,40861,849.7201052532652,1484,162,6,2,7,2018
2018-07-07,5540397993,58243,129,2526,12.199329359165425,83336.5367935309,58114,815.5541432080558,1494,205,7,3,7,2018
2018-07-08,13683334998,246220,216,2772,45.20453149001536,51845.340338351445,246004,895.6617621076892,1498,210,8,3,7,2018
2018-07-09,8191319996,74005,145,2556,16.796063675832126,93984.9807605855,73860,787.9113446385034,1554,211,9,3,7,2018
2018-07-10,3768334999,35375,50,2452,8.839679054054054,91746.48821194134,35325,907.7640765252955,1553,203,10,4,7,2018
2018-08-04,6357750493,67697,94,2452,16.363448873483534,88523.81730523064,67603,941.904092806169,1482,198,4,2,8,2018
2018-08-05,12224339997,231476,322,2881,45.29338010204082,49227.78825589796,231154,799.8853627861797,1495,211,5,2,8,2018
2018-08-06,4161084994,48438,62,2148,14.696479099678456,73156.63276792906,48376,749.3727389670445,1494,187,6,2,8,2018
2018-08-07,2825644988,25727,62,1697,8.627991886409736,91810.19690262181,25665,773.2085967074294,1511,159,7,3,8,2018
2018-08-08,7914627990,78159,143,2655,15.924506369426751,89214.40307153069,78016,887.4140843026997,1493,208,8,3,8,2018
